,city
0,ABINGTON
1,ABINGTON TOWNSHIP
2,AFFTON
3,ALDAN
4,ALGIERS
5,ALLOWAY
6,ALTON
7,AMBLER
8,ANTIOCH
9,APOLLO BEACH
10,ARABI
11,ARDMORE
12,ARNOLD
13,ASHLAND
14,ASHLAND CITY
15,ASTON
16,ATCO
17,AUDUBON
18,AUDUBON 
19,AVON
20,AVONDALE
21,BALA CYNWYD
22,BALLWIN
23,BALM
24,BARGERSVILLE
25,BARRINGTON
26,BAYONET POINT
27,BEAUMONT
28,BEECH GROVE
29,BEL RIDGE
30,BELLE CHASE
31,BELLE CHASSE
32,BELLE MEADE
33,BELLEAIR BLF
34,BELLEAIR BLUFFS
35,BELLEFONTAINE
36,BELLEFONTAINE NEIGHBORS
37,BELLEVILLE
38,BELLEVUE
39,BELLMAWR
40,BELLVILLE
41,BELMONT HILLS
42,BENSALEM
43,BENSALEM TOWNSHIP
44,BENSALEM. PA
45,BERKELEY
46,BERLIN
47,BERLIN TOWNSHIP
48,BERRY HILL
49,BERWYN
50,BETHALTO
51,BETHEL
52,BETHEL TOWNSHIP
53,BEVERLY
54,BIRCHRUNVILLE
55,BLACK JACK
56,BLACKWOOD
57,BLACKWOOD 
58,BLOOMING GLEN
59,BLUE BELL
60,BLVD
61,BOISE
62,BOISE
63,BOISE CITY
64,BOONE
65,BOOTHWYN
66,BORDENTOWN
67,BOYERTOWN
68,BRANDON
69,BRANDON
70,BRECKENRIDGE HILLS
71,BRENTWOOD
72,BRIDGE CITY
73,BRIDGEPORT
74,BRIDGETON
75,BRISTOL
76,BRISTOL TWP
77,BROOKHAVEN
78,BROOKLAWN
79,BROOMALL
80,BROWNSBURG
81,BRYN ATHYN
82,BRYN MAWR
83,BUCKINGHAM
84,BUCKS
85,BUCKTOWN
86,BURLINGTON
87,BURLINGTON TOWNSHIP
88,BYWATER
89,CAHOKIA
90,CALN
91,CAMBY
92,CAMDEN
93,CANE RIDGE
94,CARMEL
95,CARNEY'S POINT
96,CARNEYS POINT
97,CARPINTERIA
98,CARROLLWOOD
99,CARVERSVILLE
100,CASAS ADOBES
101,CASEYVILLE
102,CASTLETON
103,CATALINA
104,CEDAR BROOK
105,CEDARBROOK
106,CEDARS
107,CENTER SQUARE
108,CHADDS FORD
109,CHALEMETTE
110,CHALFONT
111,CHALMETTE
112,CHARLOTTE
113,CHELTENHAM
114,CHELTENHAM TOWNSHIP
115,CHERRY HILL
116,CHESILHURST
117,CHESTER
118,CHESTER SPRINGS
119,CHESTERBROOK
120,CHESTERFIELD
121,CHICHESTER
122,CHRISTIANA
123,CHURCHVILLE
124,CINNAMINSON
125,CITRUS PARK
126,CLARKSBORO
127,CLARKSVILLE
128,CLAYMONT
129,CLAYTON
130,CLEARWATER
131,CLEARWATER
132,CLEARWATER BEACH
133,CLEARWATER/ COUNTRYSIDE
134,CLEMENTON
135,CLERMONT
136,CLIFTON HEIGHTS
137,CLIFTON HEIGHTS
138,COATESVILLE
139,COLD SPRINGS
140,COLLEGEVILLE
141,COLLINGDALE
142,COLLINGSWOOD
143,COLLINSVILLE
144,COLMAR
145,COLUMBIA
146,COLUMBUS
147,CONCORD TOWNSHIP
148,CONCORDVILLE
149,CONSHOHOCKEN
150,CONSHOHOEKEN
151,CORNWELLS HEIGHTS
152,CORONA DE TUCSON
153,CORONA DE TUCSON
154,COTTAGE HILLS
155,CRESTWOOD
156,CREVE COEUR
157,CROYDON
158,CRUM LYNNE
159,CUMBERLAND
160,DADE CITY
161,DANVILLE
162,DARBY
163,DELANCO
164,DELLWOOD
165,DELRAN
166,DELRAN
167,DELRAN TOWNSHIP
168,DELRAN TWP
169,DEPTFORD
170,DEPTFORD TOWNSHIP
171,DES PERES
172,DEVON
173,DONELSON
174,DOVER
175,DOWNINGTOWN
176,DOWNTOWN
177,DOYLESTOWN
178,DRESHER
179,DREXEL HEIGHTS
180,DREXEL HILL
